What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
<latex>~\\<br>Consider the refinement system $\mbf{Psh \to Cat}$ described in example 3.2.15, pg 8783.<br>Does this refinement system have finite intersections? Does it have finite unions?<br></latex>	yep. pg 8794.<br>
Exercise 3.2.36, pg 8794<br><br>	<br>
Exercise 3.2.37, pg 8794	<br>
Exercise 3.2.38, pg 8794	<br>
Exercise 3.2.39, pg 8794	<br>
<latex>~\\<br>Exercise 3.2.25, pg 8788\\<br>Just show that $f_{\diamond}$ preserves composition.\\<br></latex><br><br>	<br>
Consider the following claim about the lambda calculus.<br><br>An abstraction denotes a function.<br><br>Is this true or false? Why or why not?	pg 8973, right page, middle paragraph<br>
<latex>~\\<br>Let $e / \delta$ denote simultaneous substitution of $\delta$ into $e$.<br>Consider the following statement:\\~\\<br>If $\delta w = \delta' w$ for all $w \in FV(e)$ then $e/\delta = e/\delta'$<br>True or false? (no need to prove)<br></latex>	pg 8794, right side, prop 10.1, 
<latex>~\\<br>Let $e / \delta$ denote simultaneous substitution of $\delta$ into $e$. Let $I_{\langle var \rangle}$<br>denote the identity substitution of each variable for itself.<br><br>Consider the following statement:\\~\\<br>If $e/I_{\langle var \rangle} = e$ <br>True or false? (No need to prove)<br></latex>	pg 8974, right, prop 10.1<br><br>
<latex>~\\<br>Let $e / \delta$ denote simultaneous substitution of $\delta$ into $e$,<br>and suppose that $FV(e) \subseteq dom(\delta)$.<br>Consider the following statement:\\~\\<br>$FV(e/\delta) = \bigcup_{w \in FV(e)}FV(\delta w)$\\~\\<br>True or false? (No need to prove)<br></latex><br>	pg 8974, right, prop 10.1<br><br>
<latex>~\\<br>What does the notation $e/v \to e'$ mean? <br></latex>	pg 8974, right, below prop 10.1<br>
Explain the difference between <i>contractions</i>, <i>reductions</i>, and <i>reduction sequences</i><br>in the lambda calculus.<br>	pg 8974, bottom right corner<br>
<latex>~\\<br>Explain the lambda caclulus transition rules for $\beta$-reduction, renaming, and contextual closure.<br></latex><br>	pg 8975, left page<br><br>
State, but don't prove, the Church Rosser theorem.<br>	pg 8975, prop 10.2<br>
Argue that, because of the Church-Rosser Theorem, each lambda expression has at most one normal form up to alpha renaming.<br>	pg 8975, bottom right, prop 10.3<br>
Read the examples on the bottom right of pg 8975 and top left of pg 8976.<br>	<br>
What is the normal order reduction sequence of a lambda term?	pg 8976, top left, above prop 10.4<br>
State (but don't prove) the Standardization Theorem (regarding normal order reduction sequences)<br>	pg 8976, prop 10.4<br>
What is the difference between a <i>normal form</i>, as used by a pure lambda calculus, and a <i>canonical form</i>, as used by more practical calculi?<br>	a canonical form may have redexes <i>inside</i> an abstraction.<br>pg 8976, right page, second paragraph<br>
<latex>~\\<br>If $e$ is an expression, what do the notations $e \Rightarrow z$ and $e \uparrow$ mean?<br></latex>	pg 8976, right page, near bottom<br>
Consider the following statement:<br><br>A closed application cannot be a normal form.<br><br>Prove or disprove.	true. pg 8976, very bottom right corner<br>pg 8977, top right corner.<br>
Explain the three (not two!) possibilities for the normal order reduction sequence of a closed expression e.<br>	pg 8977, left<br><br>
Give the two big-step reduction rules, for canonical forms and application, of the lambda calculus.	pg 8977, bottom left<br><br>
<latex>~\\<br>Use these two rules<br>\begin{mathpar}<br>\inferrule<br>  {~}<br>  {\lambda v. e \Rightarrow \lambda v. e}<br>\and<br>\inferrule<br>  {e \Rightarrow \lambda v. \hat{e} \\ (\hat e / v \to e') \Rightarrow z}<br>  {ee' \Rightarrow z}<br>\end{mathpar}<br>to prove the following:<br>$$ (\lambda x.~x(\lambda y.~xyy)x) (\lambda z.~\lambda w.~z) \Rightarrow \lambda y.~(\lambda z.~ \lambda w.~z)yy$$<br></latex>	pg 8977, top right<br>
What is the advantage of big-step semantics over small-step semantics?<br>	pg 87978, bottom left (below proof)<br>entire right page<br>
<latex>~\\<br>What is a $\beta_E$-redex? What is a $\beta_E$-reduction? <br></latex>	note that E stands for eager<br>pg 8979<br>
Give the two big-step reduction rules for eager evaluation of lambda calculus.<br>	pg 8979, bottom left corner<br>
<latex>~\\<br>Write an "indented form" proof of the fact that <br>$$(\lambda x.~x~x)((\lambda y.~y)(\lambda z.~z)) \Rightarrow_E \lambda z.~z$$<br></latex> 	pg 8979, right page<br><br>
Discuss the "runtime performance" tradeoffs involved in normal-order evaluation vs. eager evaluation.<br>	pg 8979, bottom right.<br>
Discuss the reason that a denotational semantics for untyped lambda calculus was so difficult to develop.<br>	pg 8980, left page.<br>key paragraphs: <br>"To see this, we first note that,"<br>"The trouble with all this is that, if S..."<br><br>
What is the type of the interpretation of a lambda expression in Scott's semantics for the untyped lambda calculus?	<latex>~\\<br>The continuous functions of the following type:<br>D_{\infty}^{\langle var \rangle} \to D_{\infty}<br></latex><br><br>pg 8980, right page<br>
Give the semantic equations for variables, applications, and abstraction in Scott's denotational semantics for the untyped lambda calculus. 	pg 8980, bottom right corner.<br>
<latex>~\\<br>Suppose $P$ is a predomain and $v \in \langle var \rangle$. Consider the following statement:\\~\\<br>The function $get_{P_v}$ satisfying<br>$$get_{P_v} \eta = \eta v$$<br>is a continuous function from $P^{\langle var \rangle}$ to $P$.\\~\\<br>Prove or disprove.<br></latex>	predomain definition on pg 8890, bottom right<br>true. pg 8981<br>
<latex>~\\<br>Suppose $P$ is a predomain and $v \in \langle var \rangle$. Consider the following statement:\\~\\<br>The function $ext_{P_v}$ satisfying<br>$$ext_{P_v} \langle \eta, x \rangle = [ \eta \mid v : x ]$$<br>is a continuous function from $P^{\langle var \rangle} \times P$ to $P^{\langle var \rangle}$.\\~\\<br>Prove or disprove.<br></latex>	predomain definition: pg 8890<br>true. pg 8981, left page<br>todo: add impostor?<br>
<latex>~\\<br>Suppose $P$ and $P'$ are predomains. Consider the following statement:\\~\\<br>The function $ap_{PP'}$ satisfying<br>$$ap_{PP'} \langle f, x \rangle = f x$$<br>is a continuous function from $(P \to P') \times P$ to $P'$.\\~\\<br>Prove or disprove.<br></latex>	predomain definition: pg 8890<br>true. pg 8981, left, (c)<br>todo: add impostor?<br><br><br>
<latex>~\\<br>Suppose $P$, $P'$, and $P''$ are preorders. Let $f$ be a continuous function from <br>$P \times P'$ to $P''$. Consider the following statement:\\~\\<br>If $ab~f$ (sometimes called the "Currying" of f) satisfies <br>$$((ab~f)~x)~y = f \langle x, y \rangle$$<br>then $ab~f$ is a continuous function from $P$ to $P' \to P''$.<br>Prove or disprove.<br></latex>	definition of preorder and continuous function on pg 8890<br><br>true. pg 8981, left, (d)<br>
<latex>~\\<br>Consider the function defined by the semantic equations:\\~\\<br>$$ \sem{v} \eta = \eta v $$<br>$$ \sem{e_0e_1} \eta = \phi(\sem{e_0}\eta)(\sem{e_1}\eta) $$<br>$$ \sem{\lambda v.e} \eta = \psi(\lambda x \in D_{\infty}. \sem{e}[\eta \mid v : x])$$<br>Consider the following claim:\\~\\<br>This function is well-typed and satifies $\sem{-} \in \langle exp \rangle \to (D_{\infty}^{\langle var \rangle} \to D_{\infty})$\\~\\<br>Prove or disprove.<br></latex>	pg 8981 prop 10.8
<latex>~\\<br>Look at 10.2-10.4 on page 8980 and consider the following statement:\\~\\<br>If $\eta w = \eta' w$ for all $w \in FV(e)$, then $\sem{e} \eta = \sem{e} \eta'$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 8982<br>todo: add impostor?<br>
<latex>~\\<br>Look at 10.2-10.4 on page 8980 and consider the following statement:\\~\\<br>If $\sem{\delta w} \eta' = \eta w$ for all $w \in FV(e)$, then $\sem{e/\delta}\eta' = \sem{e}\eta$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 8982, right, prop 10.10<br>todo: add impostor?<br>
<latex>~\\<br>Look at 10.2-10.4 on page 8980 and consider the following statement:\\~\\<br>$\sem{e/v_0 \to e_0, \ldots v_{n-1} \to e_{n-1}}\eta' = \sem{e}[\eta' \mid v_0 : \sem{e_0} \eta ' \mid \ldots \mid v_{n-1} : \sem{e_{n-1}}\eta']$\\~\\<br>Prove or disprove.<br></latex>	pg 8982, right, prop 10.11<br>todo: add impostor?<br>
<latex>~\\<br>Look at 10.2-10.4 on page 8980 and consider the following statement:\\~\\<br>If<br>$$ v_{new} \not \in FV(e) - \{v \},$$<br>then<br>$$\sem{\lambda v_{new}.~(e/v \to v_{new})} = \sem{\lambda v.~e} $$<br>Prove or disprove.<br></latex>	true. pg 8982<br>todo: add impostor?<br>
<latex>~\\<br>Look at 10.2-10.4 on page 8980 and consider the following statement:\\~\\<br>$$ \sem{(\lambda v.~e)e'} = \sem{e/v \to e'} $$<br>Prove or disprove.<br></latex>	true. pg 8982, bottom right, prop 10.13<br>
<latex>~\\<br>Look at 10.2-10.4 on page 8980 and consider the following statement:\\~\\<br>If v does not occur free in $e$, then<br>$$\sem{\lambda v.~ev} = \sem{e}$$ <br>Prove or disprove.<br></latex>	true. pg 8982, bottom right, prop 10.14<br>todo: add impostor?<br>
<latex>~\\<br>Explain why the $D_{\infty}$ semantics is appropriate for interpreting reduction to normal form in the pure lambda calculus, but not for interpreting normal-order evaluation, in the sense described on pg 8976, right.<br></latex>	pg 8983, left<br>
In Reynold's terminology, what is the difference between a <i>value</i> and a <i>result</i>?<br>	pg 8983, bottom left<br><br>
<latex><br>Explain the following diagram and its relevance to normal-order evaluation.<br><br>\begin{diagram}<br>D = V_{\bot} & \pile{\rTo^{\phi_{\bot \! \bot}} \\ \lTo_{\iota^{\uparrow} \cdot \psi}} & D \to D<br>\end{diagram}<br></latex>	pg 8983, top right
Give the semantic equation for the denotational semantics of untyped lambda calculus with normal order evaluation. (hint: a diagram between semantic domains can be a helpful guideline)<br>	pg 8983, right (relevant diagram at top of page)<br><br>
What changes must we make to the basic denotational semantics of normal-order-evaluating lambda calculus in order to accomodate eager evaluation?	pg 8983, bottom right<br>pg 8984, top left<br>
Give the semantic equations for lambda calculus with eager evaluation. (hint : drawing an isomorphism diagram might be helpful)<br>	pg 8984, left<br>
In Reynolds' eager functional language, evaluation is a relation which relates ________ to _______.<br>Fill in the blanks.<br>	It relates closed expressions to canonical forms.<br>pg 8987, right, section 11.2<br>
What is so thorny about the ability to raise errors (exceptions) that Reynolds initially chooses to model them in a way that does not distinguish them from non-termination?<br>	pg 8988, left, near top<br>
In Reynolds' eager functional language, canonical forms all share a common behavior with respect to reduction. What is it?<br>	pg 8988, bottomish left<br><br>
<latex>~\\<br>What does the notation $\lfloor - \rfloor$ mean when used in the context of Reynolds' eager functional language?<br></latex><br>	pg 8988, right<br>
Give the big-step rules for unary and binary operators in Reynolds' eager functional language.	pg 8988, right<br>
Give the big-step evaluation rules for conditional expressions in Reynolds' eager functional language.<br>	pg 8988, bottom right<br><br>
Give the big-step reduction rule for lambda application in Reynolds' eager functional language.	pg 8989
Give the big-step evaluation rules for tuples in Reynolds' eager functional language.<br>Give the big-step evaluation rules for alternatives (sums) in Reynolds' eager functional language.<br><br>Give both introduction AND ELIMINATION rules.<br>	pg 8989, right<br><br>
What are the operational semantics for the <b>error</b> and <b>typeerror</b> constructs of Reynolds' eager functional language?<br>	trick question (kinda): they always diverge, a fact captured by giving them no inference rules (in big-step semantics) at all<br>pg 8989, bottom right<br>pg 8990, top left<br>
Read pg 8990, left side to learn about patterns in Reynolds' eager functional language.<br><br>	<br>
<latex>~\\<br>Recall that in Reynolds' eager functional language, the metavariable p is used to denote patterns.<br>How do we define the free-variables function FV on terms of the form $\lambda p.~e$, i.e.<br>how do we define<br>$$FV(\lambda p.~e)$$ <br></latex>	pg 8990, bottom left<br><br>
<latex>~\\<br>Show how definitions and patterns in Reynolds' eager functional language can be represented as patterns.<br>Desugar the expression<br>$$ \mathbf{let}~\langle x,y \rangle \equiv w, z \equiv 2 \times n~\mathbf{in}~x+y+z$$<br></latex><br>	pg 8990, top right
Explain how the syntax of a letrec expression is different from that of a let expression in Reynolds' eager functional language.<br>	pg 8990, right side<br>
Explain the big-step reduction rule for letrec in Reynolds' eager functional language.<br>	It's a bit subtle. Read all of page 8991, left side<br>and tiny chunk of text on top right<br><br>
Give the syntax and big-step operational semantics associated with lists.<br>Show how lists can be implemented in terms of sums and products.<br>	pg 8991, bottom right, pg 8992, top left<br>
Read pg 8992, section 11.5<br>	<br>
How is the predomain V<sub>⁎</sub> of <i>results</i> defined for Reynolds' eager functional language?<br>	pg 8993, right page.<br>
<latex>~\\<br>In the direct denotational semantics for Reynolds' eager functional language, if $f \in V \to V_{\ast}$,<br>how is $f_{\ast} : V_{\ast} \to V_{\ast}$ defined?<br></latex><br> 	pg 8993, right page<br>
Why does Reynolds' eager functional language contain two distinct error forms <b>error</b> and <b>typeerror</b>? What is the difference?	pg 8993, right page<br>
Give the isomorphism diagram for the denotational semantics of Reynolds' eager functional language.	note: a predomain is a partial order in which every chain has a join.<br>a domain is a predomain with bottom.<br><br>pg 8994, left side<br><br>for definition of predomain see pg 8890<br>
<latex>~\\<br>Explain the isomorphism diagram for Reynolds' eager functional language:<br>\begin{diagram}<br>V & \pile{\rTo^\phi \\ \lTo_{\psi}} & V_{int} + V_{bool} + V_{fun} + V_{tuple} + V_{alt}<br>\end{diagram}<br><br>Give definitions for each of the components.<br></latex>	pg 8994 left<br>
<latex>~\\<br>Recall that Reynolds uses the metavariable $\theta$ to range over the set $\{ int, bool, fun, tuple, alt \}$.<br>When $f \in V_{\theta} \to V_{\ast}$, what does $f_{\theta}$ denote?<br>What does $f_{\theta \ast}$ denote?<br></latex><br>	pg 8994, bottom left, top right<br>
<latex>~\\<br>Let $E = \langle var \rangle \to V$ be the predomain of environments.<br>How is $E$ used to define the semantics of expressions?<br></latex>	pg 8994, right page<br>
Give the denotational semantics for <b>error</b> and <b>typeerror</b> in Reynolds' eager functional language?<br>	pg 8994, right page<br>note that the constants <i>err</i> and <i>tyerror</i> are defined on page 8993<br>
Give the denotational semantics for arithmetic constants, arithmetic unary operators, and arithmetic binary operators in Reynolds' eager functional language.<br>	pg 8994, bottom right<br><br>
Give denotational semantics for conditional expressions, variables, application, and abstraction in Reynolds' eager functional language.<br>	pg 8995, left page<br>
Give the denotational semantics for tuples and alternatives in Reynolds' eager functional language.	pg 8995, bottom left<br><br>
On the bottom right paragraph of pg 8890, Reynolds explains that the expressions bound to variables in a letrec definition must be function abstractions. Why is this necessary, even though non-recursive let can bind arbitrary expressions?	The justification is given on the right side of pg 8995:<br>it's necessary for the denotational semantics of letrec.<br><br>
Give denotational semantics for letrec in Reynolds' eager functional language.<br>	pg 8995, right<br>pg 8996, left<br><br>
Discuss the advantages of denotational semantics over operational semantics.<br>	pg 8996, bottom left, top right<br>
<latex>~\\<br>Define the domain of continuations $V_{cont}$.<br>Give the type of the function $\sem{-}$, which interprets expressions.<br>Give the type of the domain $V_{fun}$ of functional values for Reynolds' continuation semantics of an eager functional language.<br></latex>	pg 9001, right<br>pg 9002, left<br><br>
<latex>~\\<br>Read the definitions of the constants $\iota$, $err$, and $tyerr$, as well as the isomorphism diagram, etc.<br>on pg 9002 left.<br></latex>	pg 9002 (duh)<br><br>
<latex>~\\<br>Give continuation semantics for $\mathbf{error}$, $\mathbf{typeerror}$, integer constants,<br>unary operations, and binary operations in Reynolds' eager functional language.<br></latex>	pg 9002, right page<br>
In which style of semantics is evaluation order more obvious: direct denotational semantics, or continuation denotational semantics?<br>	pg 9002, bottom right says continuation semantics<br>for comparison, see pg 8894, bottom right<br><br>
<latex>~\\<br>Give continuation semantics for conditional expressions, variables, application, and abstraction in<br>Reynolds' eager functional language.<br></latex>	pg 9003, left page<br>
<latex>~\\<br>Give the continuation semantics for tuples and alternatives in Reynolds' eager functional language.<br></latex><br>	pg 9003, bottom left<br><br>
<latex>~\\<br>Give continuation semantics for letrec in Reynolds' eager functional language.<br></latex><br>	pg 9003, top right<br><br>
<latex>~\\<br>How do we update the isomorphism diagram for the denotational semantics of Reynolds' eager functional language to take "continuations as values" into account?<br></latex>	pg 9003, right<br>
<latex>~\\<br>Give continuation-based denotational semantics for the \textbf{callcc} and \textbf{throw} constructs.<br></latex> 	pg 9004, top left<br><br>
<latex>~\\<br>Show that the expression $\textbf{callcc}~(\lambda k.~2 + \textbf{throw}~k~(3 \times 4))$ denotes the value 12<br></latex>	pg 9004, left<br>
<latex>~\\<br>What does the following expression denote?<br>$$\mathbf{let}~f \equiv \mathbf{callcc}~\lambda k. \lambda x. \mathbf{throw}~k~(\lambda y. x + y)~\mathbf{in}~f~6$$ <br></latex>	pg 9004, top right<br>
<latex>~\\<br>Consider the following chunk of code. What does it do?<br>\begin{verbatim}<br>let multlist = λx. calcc (λk. <br>    letrec mt = λx. listcase x of (1,<br>        λi. λr. if i = 0 then throw k 0 else i × mt r)<br>    in mt x) ...<br>\end{verbatim}<br></latex>	pg 9004, bottom left<br>
<latex>~\\<br>Consider the following chunk of code<br>\begin{verbatim}<br>let multlist = λx. <br>  letrec mt = λx. listcase x of (1,<br>    λi. λr. i × mt r)<br>  in mt x ...<br>\end{verbatim}<br>Convert this to continuation passing style, so that it immediately aborts if it finds the list<br>to contain 0.<br></latex>	pg 9004, bottom right,<br>pg 9003, top left<br>
<latex>~\\<br>We must change the following three definitions for a "defunctionalized" semantics of Reynolds' eager functional language.\\~\\<br>V_{cont} = V \to V_{\ast}<br>V_{fun} = V \to V_{cont} \to V_{\ast}<br>E = \langle var \rangle \to V\\~\\<br>How? <br></latex>	pg 9005 right<br>
<latex>~\\<br>How do we interpret a continuation $\sem{-e} \eta \kappa$ using defunctionalized semantics?<br></latex>	pg 9006, top left<br>
<latex>~\\<br>How do we define defunctionalized semantics for the binary operation\\~\\<br>\sem{e + e'}?<br></latex>	pg 9006, left<br>
<latex>~\\<br>Consider the formal system of modal logic with necessity and possibility. Its syntax is:~\\<br>Propositions A ::= $P \mid A_1 \supset A_2 \mid \square A \mid \diamond A$\\<br>True Hypotheses $\Gamma$ ::= $\cdot \mid \Gamma, A~true$\\<br>Valid Hypotheses $\Delta$ ::= $\cdot \mid \Delta, A~valid$ \\<br>Give all judgment rules associated with this system.<br></latex><br>	pg 8687<br>
Give all five substitution rules for modal logic with necessity and possibility.<br>	pg 8687, bottom<br>
What is the difference between an <i>analytic</i> and a <i>synthetic</i> judgment? Give examples.	pg 8689.<br>
Show that standard product type elimination rules are both locally sound and locally complete.<br>	pg 8689, near bottom<br>
Explain local reduction and expansion for arrow types in a typical typed programming language.	<latex>~\\<br>pg 8690, middle\\<br>note that $\supset$ is used instead of $\to$<br></latex>
What does the notation x::A mean in Pfenning and Davies' system?	pg 8690<br>
Show how "substitution of validity hypotheses" works in the terms and types formulation of Pfenning and Davies' system. 	pg 8690, the hyp* rule and the substitution principle to its right.<br>
Give the introduction and elimination rules for modal necessity in the terms-and-types formulation of Pfenning and Davies' system. Also show local soundness and completeness.<br><br>	pg 8690<br>
To incorporate modal possibility into Pfenning and Davies' term-and-type formulation of modal logic, a new syntacic class E of <i>proof expressions</i> is introduced. Explain the motivation for $E$ and give its definition.<br>	pg 8691, near top<br><br>
Give the introduction and elimination rules for modal possibility in Pfenning and Davies' term-and-type system for modal logic. Also demonstrate local soundness and completeness.	<latex>~\\<br>pg 8691, see $\diamond I$ and $\diamond E$ and the below rewrite rules.<br></latex><br>
<latex>~\\<br>In Pfenning and Davies' term-and-type formulation of modal logic, a special substitution operator $\langle \! \langle E /x \rangle \! \rangle$ is necessary for dealing with modal possibility. Give its definition and explain its motivation.<br></latex>	pg 8691, middle<br>
<latex>~\\<br>Explain the derived elimination rule $\square E_p$, in both its purely logical form and its term-and-type form.<br></latex><br>	pg 8686, near bottom<br>pg 8691, near bottom<br>
<latex>~\\<br>Give Pfenning and Davies' definition of \emph{lax truth}, i.e. judgments of the form <br>$\Gamma \vdash A~lax$<br></latex>	pg 8695, middle<br>
<latex>~\\<br>Give the introduction and elimination forms $\bigcirc I$ and $\bigcirc E$ for lax truth propositions<br>of the form $\bigcirc A$. Show local soundness and completeness.<br></latex><br>	pg 8695, bottomish
Give the three axioms which characterize lax logic.	pg 8696, near top<br>
<latex>~\\<br>Axiomatically, how is the lax modality $\bigcirc$ different than the possibility modality $\diamond$?<br></latex><br><br>	pg 8696, below axioms<br><br>
<latex>~\\<br>Give the translation $(-)^+$ from lax logic into intuitionistic modal logic.\\<br>You will need to handle the following syntactic forms:\\<br>$A \Rightarrow B$\\<br>$\bigcirc A$\\<br>$P$\\<br>$\cdot$  (empty~context)\\<br>$\Gamma, A~true$\\~\\<br>Prove that it is sound and complete:\\<br>$\Gamma \vdash^L A~true$ iff $\Gamma^+;\cdot \vdash^M A^+~true$<br></latex><br> <br>	pg 8696, near bottom<br><br>
<latex>~\\<br>Define the translation $(-)^-$ from intuitionistic modal logic into lax logic.\\<br>You must handle the following cases.\\<br>$A \supset B$\\<br>$\square A$\\<br>$\diamond A$\\<br>$P$ \\<br>$\cdot$ (empty context)\\<br>$\Delta, A~valid$\\<br>$\Gamma, A~true$\\~\\<br>Prove the two properties:\\<br>1. if $\Delta;\Gamma \vdash^M A~true$ then $\Delta^-,\Gamma^- \vdash^L A^-~true$, and\\<br>2. if $\Delta; \Gamma \vdash^M A~poss$ then $\Delta^-,\Gamma^- \vdash^L A^-~lax$<br></latex>	pg 8697, near top<br>
In one or two short sentences, what advantages does normal order evaluation provide over eager evaluation?<br>	Fewer expressions diverge, plus lazy lists<br>pg 9025, left, intro<br>also soundness: see "reduction revisited" on pg 9029<br><br>
Give big-step reduction rules for canonical forms, unary operators, binary operations, and conditional expressions. In Reynolds' normal order language.<br>	pg 9025, top-right<br><br>
Give the big-step rule for function application in Reynolds' normal-order language.	pg 9025, bottom right<br>
Give the big-step reduction rules related to tuples for Reynolds' normal-order language.<br>	note that all tuple constructors are canonical, so we don't need to give an explicit reduction rule for tuple constructors (that is handled by the "canonical forms" rule on the top right of pg 9025)<br><br>pg 9026, top left<br><br>
Give the big-step reduction rule for alternatives in Reynolds' normal order language.<br>	pg 9026, left<br><br>
<latex>~\\<br>In Reynolds' normal order language, recursion is handled much differently than in the eager language, using terms of the form $\mbf{rec}~e$. Give the big-step reduction rule for this form and explain why it would not be useful under eager evaluation.<br></latex>	pg 9026, left<br>
Show how letrec bindings can be defined in terms of syntactic sugar in Reynolds' normal-order language.<br>	pg 9026, right<br>
Explain how short-circuiting versions of common boolean operations can be defined in Reynolds' normal order language.	pg 9026, bottom right.<br>for definition of if expressions, see pg 9025, mid right<br>
Show how Reynolds' normal order language can be used to implement a short-circuiting multiplication operator.<br>	pg 9027, top left, scmult<br><br>
Consider the <i>search</i> example on the top-left of pg 8993.<br>How could this example be improved using normal order evaluation?	pg 9027, left toppish<br>
Show how to define the following infinite lists in Reynolds' lazy language:<br>1.) 0 :: 0 :: 0 :: 0 :: ...<br>2.) 0 :: 1 :: 2 :: 3 :: ...<br>	pg 9027, left<br>
Consider the following statement:<br><br>In Reynolds' normal order language, there are two types of lists.<br><br>True or false? Explain	FALSE! IMPOSTOR! HAHAHAHAHA!<br>there are also partial lists, i.e. accessing some element causes divergence.<br>pg 9027, bottom right<br><br>
<latex>~\\<br>Draw the isomorphism diagram for semantic domains in Reynolds' Normal-Order Language.<br></latex>	pg 9028, top-left<br><br>
How does the semantic domains for Reynolds' normal-order language differ from the semantic domains for Reynolds' eager language? 	pg 9028, mid left
Give the denotational semantics for variables, application, and abstraction in Reynolds' normal-order language.	pg 9028, right<br><br>
Give denotational semantics for tuples and alternatives in Reynolds' normal-order language.	pg 9028, bottom right<br><br>
Give denotational semantics for the syntactic form <b>rec</b> e in Reynolds' normal-order language.<br><br>	pg 9029, top left<br>
Give the "tuple pattern" typing rule for Reynolds' simple type system. 	pg 9036, left<br>
<latex>~\\<br>Give Reynolds' \emph{explicit} abstraction typing rule.<br></latex>	pg 9038, right. Note that Reynolds' abstractions bind patterns rather than variables.<br>
Explain Haskell Curry's <i>extrinsic</i> view of the meaning of types.<br>	pg 9039, right, section 15.4
Consider the following statement:<br><br>The meaning of a type should be a set of results that a term of that type may normalize to.<br><br>Is there anything wrong with this statement? How would you revise it?<br>	pg 9039, bottom right<br>pg 9040, top left<br><br>make sure to read the paragraph about the "real" type. it's kind of interesting.<br>
What is a partial equivalence relation, and how are partial equivalence relations relevant to denotational semantics?	pg 9040. bottom left<br>
Read the second to bottom paragraph of pg 9040 left.<br>	pg 9040<br>
<latex>~\\<br>Recall that Reynolds uses the metavariable $\theta$ to represent types.<br>What does $\mathcal P(\theta)$ denote?<br></latex>	pg 9040, bottom left (partial equivalence relations are defined over the course of the left page; start reading from the top if you need a refresher)<br>
<latex>~\\<br>Give the definitions for partial equivalence in Reynolds' eager language. Specifically,<br>define $\mathcal P(int)$, $\mathcal P(bool)$, $\mathcal P(\theta \to \theta')$,<br>$\mathcal P(\mbf{prod}(\theta_0, \ldots, \theta_{n-1}))$<br>and $\mathcal P(\mbf{sum}(\theta_0, \ldots, \theta_{n-1}))$<br></latex>	pg 9040, top-right<br>
<latex>~\\<br>One of the essential properties of Reynolds' partial equivalence relation is that for all types $\theta$,<br>$\mathcal P(\theta)$ is "chain-complete". What does this mean, and why does it matter?<br></latex><br>	pg 9040, right page, prop 15.1 (b)<br><br>
For extrinsic, Curry-style semantics, state the theorem regarding soundness of non-binding (i.e. non-abstraction) typing rules.<br><br>Then state the "soundness of typing" theorem in its general form.<br>	pg 9041, top left<br>pg 9042, top left<br><br>
<latex>~\\<br>There are three important properties other than soundness for the partial equivalence relation in Reynolds' extrinsic type semantics. For all types $\theta$, they are:\\~\\<br>1.) $\mathcal P(\theta)$ is a partial equivalence relation\\<br>2.) $\mathcal P(\theta)$ is "chain-complete" \\<br>3.) ????\\~\\<br>What is the third property and why is it important?<br></latex> 	It is important because:<br>- It rules out the possibility that well-typed terms are interpreted as type errors<br>- It allows for the possibility that well-typed terms of any type diverge<br><br>pg 9040 / bottom right<br>
Explain how the naive version of soundness (where a type denotes a set of values) can be framed as a special case of the partial equivalence relation version of soundness.<br>	pg 9042, right, prop 15.4<br>
What is the <i>intrinsic</i> view of the denotational semantics of typed languages?	pg 9043, top left<br>
<latex>~\\<br>The first step in defining an intrinsic semantics of a typed language is to define the meaning of each type $\theta$ to be a domain. Give the domains for int, bool, and the type constructors<br>$\theta \to \theta'$, $\mbf{prod}(\theta_0, \ldots, \theta_{n-1})$, $\mbf{sum}(\theta_0, \ldots, \theta_{n-1})$ <br></latex>	pg 9043, bottom left<br>
<latex>~\\<br>For intrinsic denotational semantics, how is the semantics $\mathcal D^*(\pi)$ of a context $\pi$ defined?<br></latex>	pg 9043, bottom right<br>
<latex>~\\<br>In intrinsic denotational semantics of typed languages, how is the semantics of an expression defined?<br></latex>	pg 9043 right<br>
Give intrinsic denotational semantics for the integer constant 0 and the binary operator +.<br><br> 	pg 9044 left<br>
Give intrinsic denotational semantics for<br>-conditional expressions <br>-variables<br>-abstractions<br>-applications<br><br>	pg 9044<br>
Give intrinsic denotation semantics for<br>-product introduction<br>-product elimination<br>-sum introduction<br>-sum elimination<br>	pg 9044, bottom left<br>
Give intrinsic denotational semantics for recursive terms <b>rec</b> e.<br> 	pg 9044, right page<br>
What does the term <i>coherence</i> mean, regarding intrinsic denotational semantics for typed languages? Why is it important?<br>	pg 9045, top left<br><br>
<latex>~\\<br>How are the following terms interpreted in Reynolds' intrinsic denotational semantics?\\<br>$\mbf{rec}~(\lambda f.~f)$\\<br>$\lambda x.~(\mbf{rec}~(\lambda f.~f)~x)$\\<br>Why might this pose a problem for \emph{soundness}, as defined on page 8900, right page?<br></latex>	pg 9045, left, bottom half<br><br>
